,List of Abbreviations ,,
ASSOCHAM,The Associated Chambers of Commerce and Industry of India,,
ASTO,Association of Sea Training Organizations,,
DAP,Diammonium Phosphate (Urea),,
CENVAT,Central Value Added Tax,,
GDR,Global Depositary Receipt,,
MRPL,Mangalore Refineries & Petrochemicals Limited,,
APM,Administered Price Mechanism,,
AICPI(IW),All India Consumer Price Index (Industrial Workers),,
ACR,Annual Confidential Report,,
BEL,Bharat Electronics Limited,,
BHEL,Bharat Heavy Electricals Limited,,
BSNL,Bharat Sanchar Nigam Limited,,
BIFR,Board for Industrial and Financial Restructuring,,
BRPSE,Board for Reconstruction of Public Sector Enterprises,,
BPE,Bureau of Public Enterprises,,
BPO,Business Process Outsourcing,,
CPS,Cash Based Profit Sharing,,
CBDT,Central Board for Direct Taxes,,
CDA,Central Dearness Allowance,,
CPC,Central Pay Commission,,
CPSE,Central Public Sector Enterprises,,
CMD,Chairman-cum-Managing Director,,
CEO,Chief Executive Officer,,
CFO,Chief Finance Officer,,
COO,Chief Operating Officer,,
CCA,City Compensatory Allowance,,
CAG,Comptroller & Auditor General of India,,
CRS,Compulsory Retirement Scheme,,
CII,Confederation of Indian Industries,,
CTC,Cost to the Company,,
DA,Dearness Allowance,,
DPS,Deferred Profit Sharing,,
DPE,Department of Public Enterprises,,
ESPP,Employee Stock Purchase Plan,,
EPS,Employees Pension Scheme,,
ESOP,Employees Stock Option Plan,,
ERP,Enterprises Resource Planning,,
FMCG,Fast Moving Consumer Goods,,
FICCI,Federation of Indian Chamber of Commerce and Industry,,
FRBM,Fiscal Responsibility and Budget Management,,
FDI,Foreign Direct Investment,,
FEMA,Foreign Exchange Management Act,,
FERA,Foreign Exchange Regulation Act,,
GAIL,Gas Authority of India Ltd,,
GDP,Gross Domestic Product,,
HoD,Head of Department,,
HPPC,High Power Pay Committee,,
HAL,Hindustan Aeronautics Limited,,
HMT,Hindustan Machine Tools,,
HRA,House Rent Allowance,,
HRD,Human Resource Development,,
IIM,Indian Institute of Management,,
IIT,Indian Institute of Technology,,
IOC,Indian Oil Corporation,,
ISM,Indian School of Mines,,
ITI,Indian Telephones Industries,,
IDA,Industrial Dearness Allowance,,
IT,Information Technology,,
ITES,Information Technology Enabled Services,,
IPE,Institute of Public Enterprises,,
IS,Industry Segment,,
ISO,International Standards Organization,,
LTC,Leave Travel Concession,,
LIC,Life Insurance Corporation of India,,
LPG,Liquefied Petroleum Gas,,
MTNL,Mahanagar Telephone Nigam Ltd,,
MOU,Memorandum of Understanding,,
M&A,Mergers & Acquisitions,,
MSTC,Metals & Scrap Trading Corporation,,
MMTC,Minerals & Metal Trading Corporation,,
MRTP,Monopolies & Restrictive Trade Practices,,
MNC,Multi National Company,,
NALCO,National Aluminium Company,,
NCMP,National Common Minimum Programme,,
NFC,National Fire College,,
NIETE,National Institute of Industrial Engineering.,,
NLC,National Labour Commission,,
NRF,National Renewal Fund,,
NSS,National Sample Survey,,
NTPC,National Thermal Power Corporation,,
NEP,New Economic Policy,,
NPA,Non Practicing Allowance,,
NRI,Non Resident Indians,,
NUS,Non Unionised Supervisors,,
OM,Office Memorandum,,
ONGC,Oil & Natural Gas Corporation,,
PRC,Pay Revision Committee,,
PMS,Performance Management System,,
PRP,Performance Related Payment,,
PF,Provident Fund,,
PDS,Public Distribution System,,
PESB,Public Enterprises Selection Board,,
PSE,Public Sector Enterprise,,
PSU,Public Sector Undertaking,,
REC (NIT),Regional Engineering College,,
R&D,Research and Development,,
SEBI,Securities Exchange Board of India,,
SS,Service Sector,,
SICA,Sick Industrial Companies Act,,
SEZ,Special Economic Zone,,
SCOPE,Standing Conference of Public Enterprises,,
SAIL,Steel Authority of India Ltd,,
SAR,Stock Appreciation Right,,
VAT,Value Added Tax,,
VP,Variable Pay,,
VER,Very Early Retirement,,
VSNL,Videsh Sanchar Nigam Ltd,,
VRS,Voluntary Retirement Scheme,,
WTO,World Trade Organisation,,
ADDA,Asansol Durgapur Development Authority,,
Addl.,Additional,,
ADM,Additional District Magistrate,,
ADR,Adverse Drug Reaction,,
ADSR,Additional District Sub-Registrar,,
AE,Assistant Engineer,,
AG,Accountant General,,
AMC,ADR Monitoring Centre,,
AMC,Asansol Municipal Corporation,,
ASHA,Accredited Social Health Assistant,,
Asstt.,Assistant,,
AT,Assistant Teacher,,
B.Ed,Bachelor of Education,,
B.T.,Bachelor of Training,,
BCP,Business Continuity Plan,,
BDA,Burdwan Development Authority,,
BDO,Block Development Officer,,
BFHCPL,Bengal-Faith Health Care Private Limited,,
BL& LRO,Block Land and Land Reforms Officer,,
BOOT,"Build, operate, own and transfer",,
BOQ,Bill of Quantities,,
BPA,Burdwan Planning Area,,
BPHC,Block Primary Health Centre,,
BPL,Below Poverty Line,,
CAAT,Computer Assisted Audit Technique,,
CAG,Comptroller and Auditor General,,
CARA,Central Adoption Resource Agency,,
CARINGS,Child Adoption Resource Information and Guidance System,,
CCI,Child Care Institution,,
CCL,Children in conflict with law,,
CDSCO,Central Drug Standard Control Organisation,,
CEO,Chief Executive Officer,,
CES,Consulting Engineering Services,,
CMOH,Chief Medical Officer of Health,,
CMS,Central Medical Store,,
CNCP,Children in need of care and protection,,
CONFED,West Bengal Consumers Co-operative Federation Limited,,
CPCs,Child Protection Committees,,
CRZ,Coastal Regulation Zone,,
CSA,Common Services Area,,
.csv,Comma Separated Value,,
CWC,Child Welfare Committee,,
CWPO,Child Welfare Police Officer,,
CWSN,Children With Special Needs,,
D & C,Drugs & Cosmetics,,
DBA,Database Administrator,,
DCC,Drug Consultative Committee,,
DCFS,Divisional Controller of Food & Supplies,,
DCG,Director of Consumer Goods,,
DCPU,District Child Protection Units,,
DCR,Duplicate Carbon Receipt,,
DDC,Directorate of Drug Control,,
DDO,Drawing & Disbursing Officer,,
DGRCs,District Grievances Redressal Committees,,
DH,District Hospital,,
DKMs,District Key Managers,,
DM,District Magistrate,,
DMC,Durgapur Municipal Corporation,,
DNOs,District Nodal Officers,,
DPC,"Duties, Powers and Conditions of Service",,
DPO,District Programme Officer,,
DPR,Detailed Project Report,,
DSDA,Digha Sankarpur Development Authority,,
Dy.,Deputy,,
EE,Executive Engineer,,
EO,Executive Officer,,
EWS,Economically Weaker Sections,,
FC,Forest Conservation,,
FCI,Food Corporation of India,,
FIR,First Information Report,,
FKOs,Field Key Officers,,
FMPS,Fair Price Medicine Shops,,
G&SS,General and Social Sector,,
GB,General Banner,,
GMP,Good Manufacturing Practices,,
GoI,Government of India,,
GoWB,Government of West Bengal,,
GP,Gram Panchayat,,
H&FW,Health & Family Welfare,,
HM,Headmaster,,
HS,Higher Secondary,,
HSR,Home Study Report,,
ICDS,Integrated Child Development Scheme,,
ICP,Individual Care Plan,,
ICPS,Integrated Child Protection Scheme,,
ICs,Insurance Companies,,
ICZMP,Activities under Integrated Coastal Zone Management Plan,,
IDEA,Interactive Data Extraction and Analysis,,
IEC,Information Education Communication,,
IESWM,Institute of Environmental Studies and Wetland Management,,
Inj.,Injection,,
IOC,Indian Oil Corporation,,
IOES,Integrated Online Examination System,,
IPC,Indian Pharmacopoeia Commission,,
IR,Inspection Report,,
IRC,Individual Ration Card holders,,
ISM,Indian System of Medicines,,
ISRC,Indian Society for Rehabilitation of Children,,
ISSA,Indian Society for Sponsorship and Adoption,,
IT,Information Technology,,
JJ,Juvenile Justice,,
JJB,Juvenile Justice Board,,
JNNURM,Jawaharlal Nehru Urban Renewal Mission,,
KL.,Kilo Litre,,
KMDA,Kolkata Metropolitan Development Authority,,
LCPO,Legal-cum-Probation Officer,,
LED,Light-emitting Diode,,
LPG,Liquified Petroleum Gas,,
LUDCP,Land Use & Development Control Plan,,
MCCC,Mother and Child Care Centre,,
MCH,Medical College & Hospital,,
MGNREGA,Mahatma Gandhi National Rural Employment Guarantee Act,,
MGNREGS,Mahatma Gandhi National Rural Employment Guarantee Scheme,,
MiC,Minister-in-Charge,,
MoA,Memorandum of Agreement,,
MoP,Memorandum of Payment,,
MoU,Memorandum of Understanding,,
MSK,Madrasah Shiksha Kendra,,
MSVP,Medical Superintendent-cum-Vice Principal,,
MSW,Municipal Solid Wastes,,
MWCD,Ministry of Women and Child Development,,
NABL,National Accreditation Board for Testing and Calibration of Laboratories,,
NaNO,National Nodal Officer,,
NGO,Non-Government Organisations,,
NGRC,National Grievances Redressal Committee,,
NH,National Highway,,
NHM,National Health Mission,,
NJP,New Jalpaiguri,,
NOC,No-Objection Certificate,,
NRSMCH,NRS Medical College & Hospital,,
NSQ,Not of Standard Quality,,
NT,Non-Teaching,,
OBC,Other Backward Class,,
ODP,Other Deprived Persons,,
OHR,Overhead Reservoir,,
OMC,Oil Marketing Companies,,
OMR,Optical Mark Recognition,,
OT,Operation Theatre,,
PAB,Project Approval Board,,
PAC,Public Accounts Committee,,
PCC,Plain Cement Concrete,,
PDS,Public Distribution System,,
PHE,Public Health Engineering,,
PHED,Public Health Engineering Department,,
PIP,Programme Implementation Plan,,
PPP,Public Private Partnership,,
PPSWOR,Probability Proportional to Size Without Replacement,,
PS,Panchayat Samity,,
PT,Personality Test,,
PvPI,Pharmacovigilance Programme of India,,
PW,Public Works,,
PwC,PricewaterhouseCoopers,,
QPR,Quarterly Progress Report,,
RCC,Reinforced Cement Concrete,,
RDDC,Regional Director of Drug Control,,
RE,Resident Engineer,,
RE,Response Elicit Banner,,
RH,Rural Hospital,,
RLSTs,Regional Level Selection Tests,,
RO,Regional Office,,
RSBY,Rashtriya Swasthya Bima Yojana,,
RSKs,Rogi Sahayata Kendras,,
RSs,Rogi Sahayaks,,
SAA,Specialised Adoption Agency,,
SBR,Social Background Report,,
SC,Scheduled Caste,,
SCFS,Sub-Divisional Controller of Food & Supplies,,
SD,Sub-Division,,
SDCRL,State Drug Control and Research Laboratory,,
SDL& LRO,Sub-Divisional Land and Land Revenue Officer,,
SDLC,System Development Life Cycle,,
SDO,Sub-Divisional Officer,,
SG,State General,,
SGRC,State Grievances Redressal Committee,,
SHGs,Self Help Groups,,
SJPU,Special Juvenile Police Unit,,
SKO,Superior Kerosene Oil,,
SLIC,State Level Implementation Committee,,
SMIS,Store Management Information System,,
SNA,State Nodal Authority,,
SNO,State Nodal Officer,,
SQL,Structured Query Language,,
Sr.,Senior,,
SRSWOR,Simple Random Sampling Without Replacment,,
SSK,Shishu Shiksha Kendra,,
ST,Scheduled Tribe,,
STM,School of Tropical Medicine,,
STP,Sewerage Treatment Plant,,
SWM,Solid Waste Management,,
Tab,Tablet,,
TCAC,Tourist Civic Amenities Charge,,
TCMRC,Trauma Care and Medical Research Centre,,
TPA,Third Party Administrator,,
TPD,Tonnes per Day,,
TSS,Total Suspended Solids,,
UCN,Unique Complaint Number,,
UD & MA,Urban Development & Municipal Affairs Department,,
ULBs,Urban Local Bodies,,
UNICEF,United Nations International Children’s Emergency Fund,,
URS,User Requirement Specification,,
VPN,Virtual Private Network,,
WBCSSC,West Bengal Central School Service Commission,,
WBECSC,West Bengal Essential Commodities Supply Corporation,,
WBNP,Wheat Based Nutrition Programme,,
WBPCB,West Bengal Pollution Control Board,,
WBSCZMA,West Bengal State Coastal Zone Management Authority,,
WBTCP Act,"West Bengal Town & Country (Planning & Development) Act, 1979",,
WBTR,West Bengal Treasury Rules,,
WCD& SW,Women & Child Development and Social Welfare,,
(ISSHUP),Interest Subsidy Scheme for Housing the Urban Poor,,
ACA,Additional Central Assistance,,
AD,Anno Domino,,
ADE,Additional Director of Estates,,
ADG,Additional Director General,,
APUIFDC,Andhra Pradesh Urban Infrastructural and Finance Development Corporation,,
ASCI,Administrative Staff College of India,,
AUWSP,Accelerated Urban Water Supply Programme,,
AUWSSP,Accelerated Urban Water Supply & Sanitation Programme,,
BE,Budget Estimate,,
BMRC,Bangalore Metro  Rail Corporation,,
BMTPC,Building Materials & Technology Promotion Council,,
BSF,Border Security Force,,
BSUP,Basic Services to the Urban Poor,,
CAT,Central Administrative Tribunal,,
CCEA,Cabinet Committee on Economic Affairs,,
CCF,City Challenge Fund,,
CGO,Central Government Offices,,
CMAs,Counter Magnet Areas,,
CMD,Chairman and Managing Director,,
CPHEEO,Central Public Health and Environmental Engineering Organisation,,
CPWD,Central Public Works Department,,
CREF,Credit Rating Enhancement Fund,,
CRISIL,Credit Rating Information Services of India,,
CSS,Centrally Sponsored Scheme,,
CTC,Cost to Completion,,
CUISS,Central Urban Infrastructure Support Scheme,,
CWG,Common Wealth Games,,
DDA,Delhi Development Authority,,
DFID,Department for International Development,,
DFID,Technical Assistance from Dept. for International Development,,
DGS & D,Director General of Supply and Disposal,,
DMA,Delhi Metropolitan Area,,
DMC,Disaster Mitigation Centre,,
DMRC,Delhi Metro Rail Corporation,,
DPRs,Detailed Project Reports,,
DUAC,Delhi Urban Arts Commission,,
EFC,Expenditure Finance Committee,,
EWS,Economically Weaker Sections,,
GEF,Global Environment Facility,,
GNCTD,Government of National Capital Territory of Delhi,,
GNIDA,Greater Noida Industrial Development Authority,,
GOI,Government of India,,
HIG,Higher Income Group,,
HUDCO,Housing & Urban Development Corporation,,
IAF,Indian Force Field,,
IDC,Interest During Construction,,
IDSMT,Integrated Development of Small & Medium Towns,,
IEBR,Internal Extra Budgetary Resources,,
IEC,Information Education and Communication,,
IHSDP,Integrated Housing  and slum Development Programme,,
IIPA,Indian Institute of Planning and Administration,,
IIT,Indian Institute of Technology,,
ILCS,Integrated Low Cost Sanitation,,
IRBTP,Integrated Rail and Bus Transport Project,,
ISBT,Inter-State Bus Terminus,,
ISO,Indian Standard Organisation,,
IUT,Institute of Urban Transport,,
J & K,Jammu and Kashmir,,
JBIC,Japanese Bank for International Cooperation,,
JJ,Jhuggi Jhopri,,
JNNURM,Jawaharlal Nehru National Urban Renewal Mission,,
KMDA,Kolkata Metropolitan Development Authority,,
KRCL,Konkan Railway Corporation Limited,,
KUIDFC,Karnataka Urban Infrastructure Development Finance Corporation,,
KV,Kilo Volt,,
L & DO,Land and Development Organisation,,
LAN,Local Area Network,,
LIG,Lower Income Group,,
MHA,Ministry of Home Affairs,,
MIG,Medium Income Group,,
MMRDA,Mumbai Metropolitan Region Development Authority,,
MoA,Memorandum of Agreement,,
MoR,Ministry of Railways,,
MoUD,Ministry of Urban Development,,
MPD,Man Power Development,,
MPMU,Municipal Programme Management Unit,,
MRTS,Metro Rail Transport System,,
NBCC,National Building Construction Corporation,,
NCR,National Capital Region,,
NCRPB,National Capital Region Planning Board,,
NCT DELHI,National Capital Territory of Delhi,,
NH,National Highway,,
NHAI,National Highway Authority of India,,
NIC,National Information Corporation,,
NIUA,National Institute of Urban Affairs,,
NOC,No Objection Certificate,,
NOIDA,New Okhla Industrial Development Authority,,
NPCBAERM,National Programme for Capacity Building of Architects in Earthquake Risk Management,,
NPCBEERM,National Programme for Capacity Building of Engineers in Earthquake Risk Management,,
NTPC,National Thermal Power Corporation,,
NUDBI,National Urban Data Bank and Indicator,,
NUIF,National Urban Infrastructure Fund,,
NUIS,National Urban Information System,,
NUO,National Urban Observatory,,
O & M,Operation and Maintenance,,
ONGC,Oil and Natural Gas Corporation,,
OSD,Officer on Special Duty,,
P & T,Post and Telecommunication,,
PFDF,Pool Finance Development Fund,,
PG,Post Graduate,,
PHE,Public Health Engineering,,
PHEE,Public Health and Environmental Engineering,,
PIU,Project Implementation Unit,,
PMGSY,Pradhan Mantri Gram Sarak Yojna,,
PMU,Programme Management Unit,,
PSUs,Public Sector Undertakings,,
PTA,Pass Through Assistance,,
PTI,Right to Information,,
RAY,Rajiv Awas Yojna,,
RCC,Reinforced Cement Concrete,,
RCUES,Regional Centers for Urban Environmental Studies,,
RE,Revised Estimate,,
RRTS,Regional Rapid Transit System,,
RSVY,Rashtriya Sam Vikas Yojna,,
SJSRY,Swarna Jayanti Shahri Rozgar Yojana,,
SLIA,State Level Implementation Agencies,,
SLR,Statutory Liquidity Ratio,,
SLSC,State Level Selection Committee,,
SPFE,State Pool Finance Entities,,
SPV,Special Purpose Vehicle,,
TAG,Technology Advisory Group,,
TCPO,Town & Country Planning Organisation,,
TPIM,Third Party Inspection and Monitoring,,
TUFIDCO,Tamilnadu Urban Finance & Infrastructural Development Corporation,,
UASB,Up-flow Anaerobic Sludge Blanket,,
UIDSSMT,Urban Infrastructure Development Scheme of Small & Medium Town,,
ULB,Urban Local Bodies,,
UMTC,Urban Mass Transit Company,,
UN,United Nations,,
UNCHS,United Nations Centre for Human Settlements,,
UNDP,United Nations Development Programme,,
USHA,Urban Statistics for HR and Assessment,,
USIS,Urban Spatial Information System,,
UT,Urban Transport / Union Territory,,
AIIMS,All India Institute Medical Sciences,,
AMRUT,Atal Mission for Rejuvenation and Urban Transformation,,
APEDA,Agricultural and Processed Food Products Exports Development Authority,,
APY,Atal Pension Yojana,,
ASEAN,Association of South East Asian Nations,,
BIMSTEC,Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation,,
BSNL,Bharat Sanchar Nigam Limited,,
CBFC,Central Board of Film Certification,,
CGST,Central Goods and Services Tax,,
CSIR,Council for Scientific and Industrial Research,,
DRDO,Defense Research Development Organisation,,
FASAL,"Forecasting Agricultural output using Space, Agro meteorological and Land based observations",,
FSDC,Financial Stability and Development Council,,
HDFC,Housing Development Finance Corporation,,
HRIDAY,Heritage Development and Augmentation Yojana,,
ICAR,Indian Council of Agricultural Research,,
IDBI,Industrial Development Bank of India,,
IDFC,Infrastructure Development Finance Co. Ltd.,,
IFCI,Industrial Finance Corporation of India,,
IFFCO,Indian Farmers Fertiliser Co-operative Limited,,
IGST,Integrated Goods and Services Tax,,
IMF,International Monetary Fund,,
IREDA,Indian Renewable Energy Development Agency Ltd,,
IRENA,International Renewable Energy Agency,,
IRFC,Indian Railways Finance Corporation Ltd.,,
ISRO,Indian Space Research Organisation,,
JNNURM,Jawaharlal Nehru National Urban Renewal Mission,,
LIC,Life Insurance Corporation of India,,
MSME,"Micro, Small & Medium Enterprises",,
MUDRA,Micro Units Development and Refinance Agency Bank,,
NATO,North Atlantic Treaty Organisation,,
NDDB,National Dairy Development Board,,
NHB,National Housing Bank,,
NICRA,National Innovations on Climate Resilient Agriculture,,
NITI,National Institution for Transforming India,,
NMCG,National Mission for Clean Ganga,,
NREGS,National Rural Employment Guarantee Scheme,,
PFC,Power Finance Corporation Ltd.,,
PMAY,Pradhan Mantri Awas Yojana,,
PMFBY,Pradhan Mantri Fasal Bima Yojana,,
PMSBY,Pradhan Mantri Suraksha Bima Yojana,,
PMJJBY,Pradhan Mantri Jeevan Jyoti Bima Yojana,,
PMUY,Pradhan Mantri Ujjawala Yojana,,
PRAGATI,Pro-Active Governance and Timely Implementation,,
REC,Rural Electrification Corporation Ltd.21.IRFC,,
SCM,Smart Cities Mission,,
SIDBI,Small Industries Development Bank of India,,
SETU,Self-Employment and Talent Utilization,,
SGSY,Swarnajayanti Gram Swarozgar Yojana,,
UJALA,Unnat Jyoti by Affordable LEDs for All,,
UTI,Unit Trust of India,,
